,text,username
0,"Ini ak post 3 minggu yg lalu, macet banjir jakarta",Galang Setyo Pambudi
1,"Jakarta banjir kemaren enak sepi mobil pada masuk bengkel orang pada naik angkutan umum, mantap!",Penunggang Besi Tua
2,"Silahkan kaum kolam butek kejang2 

Ternyata Banjir Terparah di Jakarta Terjadi di Era Ahok dan Jokowi, Ini Datanya

#4niesDatangIndonesiaSenang
#4niesDatangIndonesiaSenang
https://www.idtoday.co/2020/01/ternyata-banjir-terparah-di-jakarta.html … lewat @idtodaydotco",Anti_Cebong07
3,"Sependek pikiran saya, jadi banjir Jakarta adalah bagian dari rencana naturalisasi?",EnjoyINDONESIA 🇮🇩
4,"Pantesan bang @hotmanParis mendorong clash action  kepada gabener DKI.

lah kerugian sebanyak ini kok.

Silakan disimak
Kerugian banjir di Jakarta dan sekitarnya diperkirakan melebihi Rp10 triliun, kata pengamat https://www.bbc.com/indonesia/indonesia-50982184 …
#4niesMundurJakartaTeratur",BukanKacungKoruptor
5,"Dulu adagyg ngomong kalau dia jadi presiden bahkan ampe ke2 kali, banjir jakarta akan beres...siapa kah dia??",The_beyonder
6,Tren Opini: BEGINI PENJELASANNYA KENAPA SISTEM KHILAFAH ADALAH SOLUSI BANJIR JAKARTA https://www.trenopini.com/2020/01/begini-penjelasannya-kenapa-sistem.html …,abd rifai
7,"Yang banjir bukan cuma jakarta...
Yang menderita kerugian bukan cuma warga jakarta...
Kenapa ngga sekalian gugat presiden ???",Chimex
8,Tidak Hanya Banjir Jakarta http://sangnanang.com/2020/01/06/tidak-hanya-banjir-jakarta/ …pic.twitter.com/HTDUdqgBJu,Sang Nanang
9,"@RadioElshinta 
Terkait Banjir di DKI Jakarta, 
Pesan dari Bang Horman Paris untuk LBH-LBH Jakarta Cc : @LBH_Jakarta https://twitter.com/zoelfick/status/1213712047868919808 …",AYU🇮🇩
10,Banjir di jakarta,Mukti.java010@gmail.com
11,Kang @kangdede78 begini seharusnya Anies nangani banjir di Jakarta. https://twitter.com/kakiangbagoes/status/1213466881127878656 …,Pekaklonto 🇲🇨
12,analisa yg nyebutin banjir jakarta itu formulasinya cmn 30% sumbangsih limpasan dari luar seperti klaim @pemudajawa yg katanya bersumber dari BPPT mba elisa tau? sy googling gak dapet berita atau publikasinya.,Raaf Rifandi
13,"Sy juga kurang update mengenai banjir di jakarta mas, tapi disini sy hanya mempertanyakan apalagi banjir itu terjadi disebabkan oleh curah hujan yg berlebih pd tahun ini, masa iya salahkan pak gub, emang dia yg minta hujan, gak kan",dssyapr
14,"Memang tidak ada yg menjamin, waduk retensi di bogor, sukabumi akan menuntaskan banjirJakarta. Itu hanya mengurangi potensi banjir 30%. Masih ada 70% potensi banjir yg mengancam. Herannya, ada pihak yg ngotot itu adalah solusi total banjir Jakarta..",EnjoyINDONESIA 🇮🇩
15,Berhasil membuat Jakarta bebas banjir sesuai janjinya klo jadi presiden lebih gampang mengatasi banjir di jakrta,Muji
16,Era one iabon titik banjir turun drastis sekarang hanya tinggal 1 titik saja seluas 1/2 jakarta ,#JokowiTakutFPI
17,Mbahas banjir Jakarta di wa group bisa sangat berbahaya dan sensitif kalau members-nya heterogen ,V for Vendetta
18,"Ini ak post 3 minggu yg lalu, macet banjir jakarta",Galang Setyo Pambudi
19,"Jakarta banjir kemaren enak sepi mobil pada masuk bengkel orang pada naik angkutan umum, mantap!",Penunggang Besi Tua
20,"Silahkan kaum kolam butek kejang2 

Ternyata Banjir Terparah di Jakarta Terjadi di Era Ahok dan Jokowi, Ini Datanya

#4niesDatangIndonesiaSenang
#4niesDatangIndonesiaSenang
https://www.idtoday.co/2020/01/ternyata-banjir-terparah-di-jakarta.html … lewat @idtodaydotco",Anti_Cebong07
21,"Sependek pikiran saya, jadi banjir Jakarta adalah bagian dari rencana naturalisasi?",EnjoyINDONESIA 🇮🇩
22,"Pantesan bang @hotmanParis mendorong clash action  kepada gabener DKI.

lah kerugian sebanyak ini kok.

Silakan disimak
Kerugian banjir di Jakarta dan sekitarnya diperkirakan melebihi Rp10 triliun, kata pengamat https://www.bbc.com/indonesia/indonesia-50982184 …
#4niesMundurJakartaTeratur",BukanKacungKoruptor
23,"Dulu adagyg ngomong kalau dia jadi presiden bahkan ampe ke2 kali, banjir jakarta akan beres...siapa kah dia??",The_beyonder
24,Tren Opini: BEGINI PENJELASANNYA KENAPA SISTEM KHILAFAH ADALAH SOLUSI BANJIR JAKARTA https://www.trenopini.com/2020/01/begini-penjelasannya-kenapa-sistem.html …,abd rifai
25,"Yang banjir bukan cuma jakarta...
Yang menderita kerugian bukan cuma warga jakarta...
Kenapa ngga sekalian gugat presiden ???",Chimex
26,Tidak Hanya Banjir Jakarta http://sangnanang.com/2020/01/06/tidak-hanya-banjir-jakarta/ …pic.twitter.com/HTDUdqgBJu,Sang Nanang
27,"@RadioElshinta 
Terkait Banjir di DKI Jakarta, 
Pesan dari Bang Horman Paris untuk LBH-LBH Jakarta Cc : @LBH_Jakarta https://twitter.com/zoelfick/status/1213712047868919808 …",AYU🇮🇩
28,Banjir di jakarta,Mukti.java010@gmail.com
29,Kang @kangdede78 begini seharusnya Anies nangani banjir di Jakarta. https://twitter.com/kakiangbagoes/status/1213466881127878656 …,Pekaklonto 🇲🇨
30,analisa yg nyebutin banjir jakarta itu formulasinya cmn 30% sumbangsih limpasan dari luar seperti klaim @pemudajawa yg katanya bersumber dari BPPT mba elisa tau? sy googling gak dapet berita atau publikasinya.,Raaf Rifandi
31,"Sy juga kurang update mengenai banjir di jakarta mas, tapi disini sy hanya mempertanyakan apalagi banjir itu terjadi disebabkan oleh curah hujan yg berlebih pd tahun ini, masa iya salahkan pak gub, emang dia yg minta hujan, gak kan",dssyapr
32,"Memang tidak ada yg menjamin, waduk retensi di bogor, sukabumi akan menuntaskan banjirJakarta. Itu hanya mengurangi potensi banjir 30%. Masih ada 70% potensi banjir yg mengancam. Herannya, ada pihak yg ngotot itu adalah solusi total banjir Jakarta..",EnjoyINDONESIA 🇮🇩
33,Berhasil membuat Jakarta bebas banjir sesuai janjinya klo jadi presiden lebih gampang mengatasi banjir di jakrta,Muji
34,Era one iabon titik banjir turun drastis sekarang hanya tinggal 1 titik saja seluas 1/2 jakarta ,#JokowiTakutFPI
35,Mbahas banjir Jakarta di wa group bisa sangat berbahaya dan sensitif kalau members-nya heterogen ,V for Vendetta
36,"Woyy goblog banjir di Jakarta lu nyalahin gubernur ..
Pake #gubernurterbodoh
Emang lu pada tinggal di bulan yak
Trus banjir di Bekasi
Tanggerang
Bogor
Bandung
Dan wilayah lain nya pada kemana gubernurnya ..

Gua rasa lu yang nyalahin gubernur DKI bukan asli betawi ..",Ish Apelah 🐼
37,Ketika Sean Gelael Ikut Bantu Korban Banjir Jakarta https://bit.ly/2um1jSS  #Refresh #MorningUpdate #BURN,MMTC Radio Jogja
38,DKI Jakarta memiliki sejumlah proyek infrastruktur untuk menanggulangi bencana banjir di Ibu Kota. Apa saja? https://finance.detik.com/infrastruktur/d-4847480/apa-kabar-proyek-infrastruktur-antibanjir-dki?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1578268038 …,detikcom
39,"Anies hanya akui Jakarta banjir karena kiriman daribatas, yg banjir karena hujan tdk diakuinya...",Adnan Dasuki
40,"Btw nanya dong yg di jakarta , udah aman? Masih banjir ga?",Teteh nda 🌸😻
41,"Ketika Jakarta tertimpa musibah Banjir, Banyak Para Korban TIDAK TERSENTUH PEJABATnya @aniesbaswedan
, mereka kelaparan n sakit2an...para TGUPP hilang, APBD n Dana Bencana tdk nyampe ..
#JakartaBanjir4niesDimana
#AniesGakBisaKerjahttps://megapolitan.kompas.com/read/2020/01/04/16520201/korban-banjir-teluk-gong-anies-datang-doang-ke-sini-warganya-kelaparan …",Golputers
42,"Lha bukan nya indonesia yang banjir cuma jakarta uda? 
Maksudnya kata cebong yg tolol nya udah versi 6.0.1 ",enkoek
43,"Tetep aja pak Anies yang salah 

Ternyata Banjir Terparah di Jakarta Terjadi di Era Ahok dan Jokowi, Ini Datanya -- https://www.idtoday.co/2020/01/ternyata-banjir-terparah-di-jakarta.html …",fino ezqi
44,"Dimohon kepada seluruh semut yang ada di seluruh Indonesia untuk sejenak mengheningkan cipta atas bencana banjir yang melanda ibu kota Jakarta.

Banyak sahabat semut yang menjadi korban, hilang bahkan meninggal. semoga amal ibadahnya diterima di sisi Tuhan.",SomeoneYouLoved
